source,destination,purpose,consumers,reason,before_sha256,after_sha256,restore_commit
apps/web/docs/contracts/README.md,apps/web/contracts/README.md,contract guide/input,apps/web/AGENTS.md; apps/web/scripts/prototype-design-consistency.test.ts,relocate to owner; preserve bytes,ae2635e951cbe445c6f77bb25df161fe940308afa0e7905191c8d15220269bd1,ae2635e951cbe445c6f77bb25df161fe940308afa0e7905191c8d15220269bd1,1d4fa7af0414269492a1388d85876cb186fcfc8d
apps/web/docs/contracts/pages/a-shares.contract.json,apps/web/contracts/pages/a-shares.contract.json,page contract input,apps/web/scripts/page-contract/generate.mjs; apps/web/scripts/prototype-design-consistency.test.ts,relocate to owner; update path references only,caa70f4d798f0fc217f443e4f45c61d66e2ca2bc05ffdb66de7196f55c769806,2ae82e5e03c99a20db0cd5290f91226cd7ca50c2c689d3121497c513197ad603,1d4fa7af0414269492a1388d85876cb186fcfc8d
apps/web/docs/contracts/pages/agent-approvals.contract.json,apps/web/contracts/pages/agent-approvals.contract.json,page contract input,apps/web/scripts/page-contract/generate.mjs; apps/web/scripts/prototype-design-consistency.test.ts,relocate to owner; update path references only,b5151098ce7405926a30b7149df21193ed68c3baa242461c579a95a76845ba4c,e8f40ac7f16a4204d50c9081426e1f08e7792481623580963604c2c5adeaad82,1d4fa7af0414269492a1388d85876cb186fcfc8d
apps/web/docs/contracts/pages/backtest-list.contract.json,apps/web/contracts/pages/backtest-list.contract.json,page contract input,apps/web/scripts/page-contract/generate.mjs; apps/web/scripts/prototype-design-consistency.test.ts,relocate to owner; update path references only,2115b52138bf277e53a042a8eda8fea780abda3b2c70beda26384d89132d5770,f22c99addf40bd821254c47f255982f71c7289fed431e8f2af27ca7ca6d7cd21,1d4fa7af0414269492a1388d85876cb186fcfc8d
apps/web/docs/contracts/pages/backtest-result.contract.json,apps/web/contracts/pages/backtest-result.contract.json,page contract input,apps/web/scripts/page-contract/generate.mjs; apps/web/scripts/prototype-design-consistency.test.ts,relocate to owner; update path references only,399f5a284b1bd6309b268c03bf05dfec717d84ea9b8b2b50affafd04dd16b7fe,ab46f78cc7fc919a1371e4a3d2a8680bc99459374d1167343818748b2c769c2b,1d4fa7af0414269492a1388d85876cb186fcfc8d
apps/web/docs/contracts/pages/cross-market.contract.json,apps/web/contracts/pages/cross-market.contract.json,page contract input,apps/web/scripts/page-contract/generate.mjs; apps/web/scripts/prototype-design-consistency.test.ts,relocate to owner; update path references only,6c5d2699060de843879446ac62f561f45c2066f19202bfd1464c28512fbe6008,3994438ed47311a4d039f8f22db2c75d12905db118da33d3c23ed59038148c7f,1d4fa7af0414269492a1388d85876cb186fcfc8d
apps/web/docs/contracts/pages/experiment-create.contract.json,apps/web/contracts/pages/experiment-create.contract.json,page contract input,apps/web/scripts/page-contract/generate.mjs; apps/web/scripts/prototype-design-consistency.test.ts,relocate to owner; update path references only,34deca2d7388be48db19b3e3aa97a56a8031d71753ac57659728c399ddbf6a43,8e7af97b1e200b07b4820c76ce4da88fb14bf69593b633fd96c1d770531822e9,1d4fa7af0414269492a1388d85876cb186fcfc8d
apps/web/docs/contracts/pages/experiment-detail.contract.json,apps/web/contracts/pages/experiment-detail.contract.json,page contract input,apps/web/scripts/page-contract/generate.mjs; apps/web/scripts/prototype-design-consistency.test.ts,relocate to owner; update path references only,e0499928393e5bf1eba158f8179d9836ee222e7940c4fe27543f306822482be0,0d2483e598cf8ac447cfe1047412e68beb06bf63a8b96a255d1b61edffcc9894,1d4fa7af0414269492a1388d85876cb186fcfc8d
apps/web/docs/contracts/pages/experiment-list.contract.json,apps/web/contracts/pages/experiment-list.contract.json,page contract input,apps/web/scripts/page-contract/generate.mjs; apps/web/scripts/prototype-design-consistency.test.ts,relocate to owner; update path references only,85eaa7bb55b74766ff7ba5e9dea21c74961d8f946783746076658c5457ad4c8c,83f177b52d8b14582a77b9a789d9f85d16227f63c5b1a7e273f428a0eef0fc22,1d4fa7af0414269492a1388d85876cb186fcfc8d
apps/web/docs/contracts/pages/factor-analysis.contract.json,apps/web/contracts/pages/factor-analysis.contract.json,page contract input,apps/web/scripts/page-contract/generate.mjs; apps/web/scripts/prototype-design-consistency.test.ts,relocate to owner; update path references only,a865a50f89de8894111d98a425d74786eb6f57a836a7ded46699b668b7193b10,bc426598df705e839e7c09f6c8b4e737ce467f95885cd4a4e7c513a71ac1087d,1d4fa7af0414269492a1388d85876cb186fcfc8d
