path,category,sha256,same_bytes_in_inventory,literal_reference_candidates,storage,disposition,baseline_commit
apps/backend/docs/configuration.md,active-guide,6f8881d76998ff17608d1ace651f272bc8bcda6bf86eb39a005df51cf0e4955d,1,apps/backend/AGENTS.md;docs/README.md;docs/engineering/material-migrations/2026-09-08-batch-2.csv;docs/ops-manual.md;docs/plans/2026-07-15-docs-archive-cleanup-design.md;docs/plans/archive/2026-02-18-docker-deployment-design.md;docs/plans/archive/2026-04-08-code-review-full-fix.md;docs/plans/archive/2026-05-03-architecture-refactor-10-10-completion.md;docs/plans/archive/2026-05-03-post-architecture-audit-fixes.md;docs/plans/archive/2026-05-07-documentation-audit-remediation.md;packages/data/docs/data-manual.md,git:fd8cd17a911dba2b04f9d7cf8db7826d2c01898b,retain; equivalence and external backup not established,fd8cd17a911dba2b04f9d7cf8db7826d2c01898b
apps/backend/tests/fixtures/contracts/r3-v1-api-surface.json,machine-input,fb0625c0ce8e74784abd2aa6c1b7c969927bff77de5b40083d47faa907ae19ba,1,.knowledge-policy.toml;apps/backend/tests/fixtures/contracts/r3-v1-api-surface.md;apps/backend/tests/unit/api/test_r3_api_surface_contract_unit.py;docs/engineering/material-migrations/2026-09-08-batch-2.csv;docs/plans/2026-07-30-r3-completion-and-g2-closure-implementation-plan.md;docs/reviews/2026-08-04-r3-source-audit.md,git:fd8cd17a911dba2b04f9d7cf8db7826d2c01898b,retain; equivalence and external backup not established,fd8cd17a911dba2b04f9d7cf8db7826d2c01898b
apps/backend/tests/fixtures/contracts/r3-v1-api-surface.md,machine-input,282d5fe7a22f2d698106702741360a9fcf1baa72bcb6dad9b25fb94c3ad085fb,1,.knowledge-policy.toml;apps/backend/tests/unit/api/test_r3_api_surface_contract_unit.py;docs/engineering/material-migrations/2026-09-08-batch-2.csv;docs/plans/2026-07-30-r3-completion-and-g2-closure-implementation-plan.md;tooling/agent_harness/tests/test_hook.py,git:fd8cd17a911dba2b04f9d7cf8db7826d2c01898b,retain; equivalence and external backup not established,fd8cd17a911dba2b04f9d7cf8db7826d2c01898b
apps/web/contracts/README.md,machine-input,ae2635e951cbe445c6f77bb25df161fe940308afa0e7905191c8d15220269bd1,1,.knowledge-policy.toml;docs/engineering/material-migrations/2026-09-08-batch-2.csv,git:fd8cd17a911dba2b04f9d7cf8db7826d2c01898b,retain; equivalence and external backup not established,fd8cd17a911dba2b04f9d7cf8db7826d2c01898b
apps/web/contracts/pages/a-shares.contract.json,machine-input,2ae82e5e03c99a20db0cd5290f91226cd7ca50c2c689d3121497c513197ad603,1,apps/web/docs/plans/archieve/2026-04-27-consistency-remediation-plan.md;apps/web/docs/plans/archieve/prototype-to-react-enhancement-backlog.md;docs/engineering/material-migrations/2026-09-08-batch-2.csv,git:fd8cd17a911dba2b04f9d7cf8db7826d2c01898b,retain; equivalence and external backup not established,fd8cd17a911dba2b04f9d7cf8db7826d2c01898b
apps/web/contracts/pages/agent-approvals.contract.json,machine-input,e8f40ac7f16a4204d50c9081426e1f08e7792481623580963604c2c5adeaad82,1,docs/engineering/material-migrations/2026-09-08-batch-2.csv,git:fd8cd17a911dba2b04f9d7cf8db7826d2c01898b,retain; equivalence and external backup not established,fd8cd17a911dba2b04f9d7cf8db7826d2c01898b
apps/web/contracts/pages/backtest-list.contract.json,machine-input,f22c99addf40bd821254c47f255982f71c7289fed431e8f2af27ca7ca6d7cd21,1,apps/web/docs/plans/archieve/2026-04-27-consistency-remediation-plan.md;apps/web/docs/plans/archieve/prototype-to-react-enhancement-backlog.md;docs/engineering/material-migrations/2026-09-08-batch-2.csv,git:fd8cd17a911dba2b04f9d7cf8db7826d2c01898b,retain; equivalence and external backup not established,fd8cd17a911dba2b04f9d7cf8db7826d2c01898b
apps/web/contracts/pages/backtest-result.contract.json,machine-input,ab46f78cc7fc919a1371e4a3d2a8680bc99459374d1167343818748b2c769c2b,1,apps/web/docs/plans/archieve/2026-04-27-consistency-remediation-plan.md;apps/web/docs/plans/archieve/prototype-to-react-enhancement-backlog.md;docs/engineering/material-migrations/2026-09-08-batch-2.csv,git:fd8cd17a911dba2b04f9d7cf8db7826d2c01898b,retain; equivalence and external backup not established,fd8cd17a911dba2b04f9d7cf8db7826d2c01898b
apps/web/contracts/pages/cross-market.contract.json,machine-input,3994438ed47311a4d039f8f22db2c75d12905db118da33d3c23ed59038148c7f,1,apps/web/docs/plans/archieve/2026-04-27-consistency-remediation-plan.md;apps/web/docs/plans/archieve/2026-04-28-prototype-design-remediation-plan.md;apps/web/docs/plans/archieve/prototype-to-react-enhancement-backlog.md;docs/engineering/material-migrations/2026-09-08-batch-2.csv,git:fd8cd17a911dba2b04f9d7cf8db7826d2c01898b,retain; equivalence and external backup not established,fd8cd17a911dba2b04f9d7cf8db7826d2c01898b
apps/web/contracts/pages/experiment-create.contract.json,machine-input,8e7af97b1e200b07b4820c76ce4da88fb14bf69593b633fd96c1d770531822e9,1,docs/engineering/material-migrations/2026-09-08-batch-2.csv;docs/plans/2026-07-19-r3-a-share-research-strategy-governance-implementation-plan.md;docs/plans/2026-07-30-r3-completion-and-g2-closure-implementation-plan.md,git:fd8cd17a911dba2b04f9d7cf8db7826d2c01898b,retain; equivalence and external backup not established,fd8cd17a911dba2b04f9d7cf8db7826d2c01898b
