platform,source_kind,original_name,python_distribution,original_version,uv_version
linux-64,conda,aiosqlite,aiosqlite,0.22.1,0.22.1
linux-64,conda,alembic,alembic,1.18.4,1.18.4
linux-64,conda,amplitude-analytics,amplitude-analytics,1.2.2,1.2.2
linux-64,conda,annotated-doc,annotated-doc,0.0.4,0.0.4
linux-64,conda,annotated-types,annotated-types,0.7.0,0.7.0
linux-64,conda,anyio,anyio,4.13.0,4.13.0
linux-64,conda,apprise,apprise,1.10.0,1.10.0
linux-64,conda,argon2-cffi,argon2-cffi,25.1.0,25.1.0
linux-64,conda,argon2-cffi-bindings,argon2-cffi-bindings,25.1.0,25.1.0
linux-64,conda,arrow,arrow,1.4.0,1.4.0
linux-64,conda,asgi-lifespan,asgi-lifespan,2.1.0,2.1.0
linux-64,conda,asttokens,asttokens,3.0.1,3.0.1
linux-64,conda,async-exit-stack,async-exit-stack,1.0.1,not in runtime graph
linux-64,conda,async-lru,async-lru,2.3.0,2.3.0
linux-64,conda,async-timeout,async-timeout,5.0.1,not in runtime graph
linux-64,conda,asyncpg,asyncpg,0.31.0,0.31.0
linux-64,conda,attrs,attrs,26.1.0,26.1.0
linux-64,conda,babel,babel,2.18.0,2.18.0
linux-64,conda,backports.tarfile,backports-tarfile,1.2.0,not in runtime graph
linux-64,conda,backports.zstd,backports-zstd,1.3.0,not in runtime graph
linux-64,pypi,basedpyright,basedpyright,1.39.3,1.39.3
linux-64,conda,bcrypt,bcrypt,5.0.0,not in runtime graph
linux-64,conda,beartype,beartype,0.22.9,0.22.9
linux-64,conda,beautifulsoup4,beautifulsoup4,4.14.3,4.14.3
linux-64,conda,bleach,bleach,6.3.0,6.3.0
linux-64,conda,blinker,blinker,1.9.0,not in runtime graph
linux-64,conda,brotli-python,brotli,1.2.0,not in runtime graph
linux-64,pypi,cachebox,cachebox,5.2.3,5.2.3
linux-64,conda,cached_property,cached-property,1.5.2,not in runtime graph
linux-64,conda,cachetools,cachetools,7.0.6,7.0.6
linux-64,conda,certifi,certifi,2026.4.22,2026.4.22
linux-64,conda,cffi,cffi,2.0.0,2.0.0
linux-64,conda,cfgv,cfgv,3.5.0,3.5.0
linux-64,conda,charset-normalizer,charset-normalizer,3.4.7,3.4.7
linux-64,pypi,clarabel,clarabel,0.11.1,0.11.1
linux-64,conda,click,click,8.3.3,8.3.3
linux-64,conda,cloudpickle,cloudpickle,3.1.2,3.1.2
linux-64,conda,colorama,colorama,0.4.6,0.4.6
linux-64,conda,comm,comm,0.2.3,0.2.3
linux-64,conda,coolname,coolname,4.1.0,4.1.0
linux-64,conda,coverage,coverage,7.13.5,7.13.5
linux-64,conda,cronsim,cronsim,2.6,2.6
linux-64,conda,cryptography,cryptography,47.0.0,47.0.0
linux-64,pypi,cvxpy,cvxpy,1.9.2,1.9.2
linux-64,conda,cyclopts,cyclopts,4.11.0,4.11.0
linux-64,conda,dateparser,dateparser,1.4.0,1.4.0
linux-64,conda,debugpy,debugpy,1.8.20,1.8.20
linux-64,conda,decorator,decorator,5.2.1,5.2.1
linux-64,conda,defusedxml,defusedxml,0.7.1,0.7.1
linux-64,pypi,deprecated,deprecated,1.3.1,1.3.1
linux-64,pypi,dishka,dishka,1.10.1,1.10.1
linux-64,conda,distlib,distlib,0.4.0,0.4.0
linux-64,pypi,distro,distro,1.9.0,1.9.0
linux-64,conda,dnspython,dnspython,2.8.0,not in runtime graph
linux-64,conda,docker-py,docker,7.1.0,7.1.0
linux-64,conda,docstring_parser,docstring-parser,0.17.0,0.17.0
linux-64,conda,docutils,docutils,0.22.4,0.22.4
