scanner,advisory,dependency,installed,fixed_reported,subject,applicability_evidence,risk_decision,next_action,advisory_url
OSV,PYSEC-2026-3721,pip,26.1.2,26.2,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/PYSEC-2026-3721
OSV,GHSA-qwm4-qh6w-59xr,,,,,扫描器 source package；需映射二进制包,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/GHSA-qwm4-qh6w-59xr
OSV,DEBIAN-CVE-2016-2781,coreutils,9.1-1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2016-2781
OSV,DEBIAN-CVE-2024-0684,coreutils,9.1-1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-0684
OSV,DEBIAN-CVE-2025-6297,dpkg,1.21.23,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2025-6297
OSV,DEBIAN-CVE-2026-2219,dpkg,1.21.23,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-2219
OSV,DEBIAN-CVE-2026-41991,gzip,1.12-1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-41991
OSV,DEBIAN-CVE-2026-41992,gzip,1.12-1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-41992
OSV,DEBIAN-CVE-2025-1390,libcap2,1:2.66-4+deb12u3+b1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2025-1390
OSV,DEBIAN-CVE-2026-4878,libcap2,1:2.66-4+deb12u3+b1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-4878
OSV,DEBIAN-CVE-2026-41989,libgcrypt20,1.10.1-3+deb12u1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-41989
OSV,DEBIAN-CVE-2026-41990,libgcrypt20,1.10.1-3+deb12u1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-41990
OSV,DEBIAN-CVE-2024-12133,libtasn1-6,4.19.0-2+deb12u1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-12133
