advisory,dependency,installed,fixed_reported,severity,target,package_type,subject_config_digest,applicability,next_action,advisory_url
CVE-2026-53613,bsdutils,1:2.38.1-5+deb12u3,,HIGH,/work/ditto-image.tar (debian 12.15),debian,sha256:03035637c5aabcb44caceb19f38a9dc6ad25b4bdfbd311e8a0e99710cf6dc4ef,组件存在于实际镜像；调用路径可利用性待逐项复核,按供应商修复/回补证据更新依赖或基础镜像，复跑 PIT、API、隔离及制品门；不自动豁免,https://avd.aquasec.com/nvd/cve-2026-53613
CVE-2026-76642,bsdutils,1:2.38.1-5+deb12u3,,HIGH,/work/ditto-image.tar (debian 12.15),debian,sha256:03035637c5aabcb44caceb19f38a9dc6ad25b4bdfbd311e8a0e99710cf6dc4ef,组件存在于实际镜像；调用路径可利用性待逐项复核,按供应商修复/回补证据更新依赖或基础镜像，复跑 PIT、API、隔离及制品门；不自动豁免,https://avd.aquasec.com/nvd/cve-2026-76642
CVE-2026-78408,bsdutils,1:2.38.1-5+deb12u3,,HIGH,/work/ditto-image.tar (debian 12.15),debian,sha256:03035637c5aabcb44caceb19f38a9dc6ad25b4bdfbd311e8a0e99710cf6dc4ef,组件存在于实际镜像；调用路径可利用性待逐项复核,按供应商修复/回补证据更新依赖或基础镜像，复跑 PIT、API、隔离及制品门；不自动豁免,https://avd.aquasec.com/nvd/cve-2026-78408
CVE-2026-78409,bsdutils,1:2.38.1-5+deb12u3,,HIGH,/work/ditto-image.tar (debian 12.15),debian,sha256:03035637c5aabcb44caceb19f38a9dc6ad25b4bdfbd311e8a0e99710cf6dc4ef,组件存在于实际镜像；调用路径可利用性待逐项复核,按供应商修复/回补证据更新依赖或基础镜像，复跑 PIT、API、隔离及制品门；不自动豁免,https://avd.aquasec.com/nvd/cve-2026-78409
CVE-2026-78410,bsdutils,1:2.38.1-5+deb12u3,,HIGH,/work/ditto-image.tar (debian 12.15),debian,sha256:03035637c5aabcb44caceb19f38a9dc6ad25b4bdfbd311e8a0e99710cf6dc4ef,组件存在于实际镜像；调用路径可利用性待逐项复核,按供应商修复/回补证据更新依赖或基础镜像，复跑 PIT、API、隔离及制品门；不自动豁免,https://avd.aquasec.com/nvd/cve-2026-78410
CVE-2026-41992,gzip,1.12-1,,HIGH,/work/ditto-image.tar (debian 12.15),debian,sha256:03035637c5aabcb44caceb19f38a9dc6ad25b4bdfbd311e8a0e99710cf6dc4ef,组件存在于实际镜像；调用路径可利用性待逐项复核,按供应商修复/回补证据更新依赖或基础镜像，复跑 PIT、API、隔离及制品门；不自动豁免,https://avd.aquasec.com/nvd/cve-2026-41992
CVE-2026-54369,libacl1,2.3.1-3,,HIGH,/work/ditto-image.tar (debian 12.15),debian,sha256:03035637c5aabcb44caceb19f38a9dc6ad25b4bdfbd311e8a0e99710cf6dc4ef,组件存在于实际镜像；调用路径可利用性待逐项复核,按供应商修复/回补证据更新依赖或基础镜像，复跑 PIT、API、隔离及制品门；不自动豁免,https://avd.aquasec.com/nvd/cve-2026-54369
CVE-2026-53613,libblkid1,2.38.1-5+deb12u3,,HIGH,/work/ditto-image.tar (debian 12.15),debian,sha256:03035637c5aabcb44caceb19f38a9dc6ad25b4bdfbd311e8a0e99710cf6dc4ef,组件存在于实际镜像；调用路径可利用性待逐项复核,按供应商修复/回补证据更新依赖或基础镜像，复跑 PIT、API、隔离及制品门；不自动豁免,https://avd.aquasec.com/nvd/cve-2026-53613
CVE-2026-76642,libblkid1,2.38.1-5+deb12u3,,HIGH,/work/ditto-image.tar (debian 12.15),debian,sha256:03035637c5aabcb44caceb19f38a9dc6ad25b4bdfbd311e8a0e99710cf6dc4ef,组件存在于实际镜像；调用路径可利用性待逐项复核,按供应商修复/回补证据更新依赖或基础镜像，复跑 PIT、API、隔离及制品门；不自动豁免,https://avd.aquasec.com/nvd/cve-2026-76642
CVE-2026-78408,libblkid1,2.38.1-5+deb12u3,,HIGH,/work/ditto-image.tar (debian 12.15),debian,sha256:03035637c5aabcb44caceb19f38a9dc6ad25b4bdfbd311e8a0e99710cf6dc4ef,组件存在于实际镜像；调用路径可利用性待逐项复核,按供应商修复/回补证据更新依赖或基础镜像，复跑 PIT、API、隔离及制品门；不自动豁免,https://avd.aquasec.com/nvd/cve-2026-78408
